"applno","appltype","applpublicnotes","sponsorname","tecode"
8720,"NDA",,"VALEANT PHARM INTL",
8732,"NDA",,"SHIRE",
8762,"NDA",,"PARKE DAVIS",
8767,"NDA",,"SANOFI AVENTIS US",
8794,"NDA",,"SCHERING PLOUGH",
8809,"NDA",,"HOSPIRA",
8814,"NDA",,"MEDPOINTE PHARM HLC",
8816,"NDA",,"OAK PHARMS",
8822,"NDA",,"NOVARTIS",
8826,"NDA",,"SCHERING PLOUGH",
8842,"NDA",,"APOTHECON",
8843,"NDA",,"GD SEARLE LLC",
8845,"NDA",,"HOSPIRA",
8847,"NDA",,"APOTHECON",
8848,"NDA",,"FOUGERA PHARMS",
8855,"NDA",,"PARKE DAVIS",
8857,"NDA",,"WYETH AYERST",
8867,"NDA",,"3M",
8869,"NDA",,"LILLY",
8883,"NDA",,"APOTHECON",
8915,"NDA",,"ORTHO MCNEIL PHARM",
8917,"NDA",,"PHARMACIA AND UPJOHN",
8922,"NDA",,"MEDICIS",
8943,"NDA",,"TEVA BRANDED PHARM",
8951,"NDA",,"LILLY",
8955,"NDA",,"MCNEIL",
8975,"NDA",,"ANI PHARMS INC",
8983,"NDA",,"ROCHE",
9000,"NDA",,"NOVARTIS",
9008,"NDA",,"ORTHO MCNEIL PHARM",
9018,"NDA",,"MERCK",
9048,"NDA",,"VALEANT PHARM INTL",
9052,"NDA",,"BRISTOL MYERS SQUIBB",
9053,"NDA",,"STASON PHARMS",
9078,"NDA",,"PARKE DAVIS",
9087,"NDA",,"NOVARTIS",
9088,"NDA",,"TEVA",
9102,"NDA",,"GLAXOSMITHKLINE",
9108,"NDA",,"PAL PAK",
9112,"NDA",,"SUN PHARM INDS INC",
9115,"NDA",,"NOVARTIS",
9127,"NDA",,"PFIZER",
9149,"NDA",,"GLAXOSMITHKLINE",
9164,"NDA",,"PFIZER",
9165,"NDA",,"ENDO PHARMS",
9166,"NDA",,"SANOFI AVENTIS US",
9170,"NDA",,"VALEANT",
9175,"NDA",,"CASPER PHARMA LLC",
9176,"NDA",,"PFIZER GLOBAL",
9182,"NDA",,"ROCHE",
9190,"NDA",,"GUERBET",
9193,"NDA",,"MERCK",
9215,"NDA",,"NOVARTIS",
9217,"NDA",,"MEDPOINTE PHARM HLC",
9218,"NDA",,"BRISTOL MYERS SQUIBB",
9238,"NDA",,"LILLY",
9255,"NDA",,"FOREST PHARMS",
9268,"NDA",,"PARKE DAVIS",
9273,"NDA",,"IMPAX LABS",
9276,"NDA",,"BOWMAN PHARMS",
9278,"NDA",,"PANRAY",
9282,"NDA",,"NOVARTIS",
9296,"NDA",,"NOVARTIS",
9309,"NDA",,"GLAXOSMITHKLINE",
9319,"NDA",,"FOREST LABS",
9321,"NDA",,"BRACCO",
9330,"NDA",,"COVIS PHARMA BV",
9344,"NDA",,"LILLY",
9357,"NDA",,"BRISTOL MYERS SQUIBB",
9372,"NDA",,"WYETH AYERST",
9376,"NDA",,"LILLY",
9378,"NDA",,"PHARMACIA AND UPJOHN",
9386,"NDA",,"ASPEN GLOBAL",
9388,"NDA",,"TEVA WOMENS",
9391,"NDA",,"PANRAY",
9395,"NDA",,"GLENWOOD",
9402,"NDA",,"PAR STERILE PRODUCTS",
9410,"NDA",,"SANOFI AVENTIS US",
9434,"NDA",,"NOVARTIS",
9435,"NDA",,"FRESENIUS KABI USA",
9436,"NDA",,"NOVARTIS",
9452,"NDA",,"BLULINE",
9453,"NDA",,"VALE",
9458,"NDA",,"IMPAX LABS",
9470,"NDA",,"FRESENIUS KABI USA",
9477,"NDA",,"BUNDY",
9486,"NDA",,"MCNEIL CONS",
9489,"NDA",,"LEDERLE",
9495,"NDA",,"GLAXOSMITHKLINE",
9509,"NDA",,"MERCK",
9519,"NDA",,"SANOFI AVENTIS US",
9561,"NDA",,"GE HEALTHCARE",
9585,"NDA",,"BAYER PHARMS",
9627,"NDA",,"IMPAX LABS",
9631,"NDA",,"BOWMAN PHARMS",
9637,"NDA",,"AKORN",
9645,"NDA",,"VITARINE",
9659,"NDA",,"PANRAY",
9660,"NDA",,"ROCHE",
9663,"NDA",,"BUNDY",
9667,"NDA",,"VALEANT PHARM INTL",
9668,"NDA",,"VALEANT PHARM INTL",
9698,"NDA",,"MEDPOINTE PHARM HLC",
9729,"NDA",,"LEDERLE",
9750,"NDA",,"DISTA",
9766,"NDA",,"SCHERING",
9768,"NDA",,"CONCORDIA PHARMS INC",
9789,"NDA",,"MEDPOINTE PHARM HLC",
9796,"NDA",,"PFIPHARMECS",
9818,"NDA",,"MONARCH PHARMS",
9829,"NDA",,"VALEANT PHARMS LLC",
9830,"NDA",,"VALEANT PHARM INTL",
9838,"NDA",,"SANDOZ",
9854,"NDA",,"ANI PHARMS INC",
9859,"NDA",,"CYCLE PHARMS LTD",
9864,"NDA",,"PHARMACIA AND UPJOHN",
9866,"NDA",,"PHARMACIA AND UPJOHN",
9895,"NDA",,"BAYER PHARMS",
9900,"NDA",,"PHARMACIA AND UPJOHN",
9925,"NDA",,"ASTRAZENECA",
9926,"NDA",,"FERNDALE LABS",
9986,"NDA",,"PHARMACIA AND UPJOHN",
9987,"NDA",,"PHARMACIA AND UPJOHN",
9996,"NDA",,"PFIZER",
10010,"NDA",,"BAYER PHARMS",
10012,"NDA",,"LILLY",
10021,"NDA",,"ABBVIE",
10028,"NDA",,"WYETH AYERST",
10040,"NDA",,"BRACCO",
10060,"NDA",,"CASPER PHARMA LLC",
10093,"NDA",,"UCB INC",
10104,"NDA",,"VALEANT PHARMS",
10124,"NDA",,"LANNETT",
10151,"NDA",,"PARKE DAVIS",
10155,"NDA",,"SANOFI AVENTIS US",
10187,"NDA",,"NOVARTIS",
10209,"NDA",,"SCHERING",
10210,"NDA",,"SCHERING",
10220,"NDA",,"GE HEALTHCARE",
10251,"NDA",,"TARGACEPT",
10255,"NDA",,"SCHERING",
10347,"NDA",,"BRISTOL MYERS SQUIBB",
10348,"NDA",,"WYETH AYERST",
10349,"NDA",,"BAXTER HLTHCARE CORP",
10355,"NDA",,"ROCHE",
10374,"NDA",,"3M",
10375,"NDA",,"3M",
10379,"NDA",,"KING PHARMS",
10392,"NDA",,"PFIZER",
10401,"NDA",,"NURO PHARMA",
10402,"NDA",,"WYETH PHARMS",
10417,"NDA",,"FRESENIUS KABI USA",
10418,"NDA",,"ASTRAZENECA",
10423,"NDA",,"ROCHE",
10441,"NDA",,"EVERYLIFE",
10460,"NDA",,"BOEHRINGER INGELHEIM",
10485,"NDA",,"ROERIG",
10496,"NDA",,"ASTRAZENECA",
10515,"NDA",,"HOSPIRA",
10520,"NDA",,"MERCK",
10533,"NDA",,"NOVARTIS",
10554,"NDA",,"PFIZER",
10562,"NDA",,"MERCK",
10571,"NDA",,"GLAXOSMITHKLINE",
10581,"NDA",,"PHYS PRODS VA",
10585,"NDA",,"MERCK",
10596,"NDA",,"PARKE DAVIS",
10598,"NDA",,"SANOFI AVENTIS US",
10599,"NDA",,"ABBVIE",
10611,"NDA",,"PHARMACIA AND UPJOHN",
10653,"NDA",,"3M",
10656,"NDA",,"MERCK",
10669,"NDA",,"ASPEN GLOBAL INC",
10670,"NDA",,"PHARMACIA AND UPJOHN",
10679,"NDA",,"SANOFI AVENTIS US",
10686,"NDA",,"PFIZER",
10718,"NDA",,"REED AND CARNRICK",
10721,"NDA",,"CASPER PHARMA LLC",
10742,"NDA",,"GLAXOSMITHKLINE",
10744,"NDA",,"GLAXOSMITHKLINE",
10753,"NDA",,"WYETH AYERST",
10775,"NDA",,"SCHERING",
10787,"NDA",,"SANOFI AVENTIS US",
10791,"NDA",,"BEL MAR",
10796,"NDA",,"ABBVIE",
10799,"NDA",,"WYETH CONS",
10831,"NDA",,"ORGANICS LAGRANGE",
10841,"NDA",,"RECORDATI RARE",
10895,"NDA",,"PARKE DAVIS",
10909,"NDA",,"SCHERING",
10911,"NDA",,"STUART PHARMS",
10926,"NDA",,"MYLAN PHARMS INC",
10927,"NDA",,"BRACCO",
10929,"NDA",,"BRACCO",
10942,"NDA",,"WYETH AYERST",
10962,"NDA",,"PARKE DAVIS",
10971,"NDA",,"WYETH AYERST",
10976,"NDA",,"GD SEARLE LLC",
10996,"NDA",,"XANODYNE PHARM",
10997,"NDA",,"XANODYNE PHARM",
11000,"NDA",,"GLAXOSMITHKLINE",
11011,"NDA",,"AUXILIUM PHARMS LLC",
11028,"NDA",,"MERCK",
11045,"NDA",,"MEDPOINTE PHARM HLC",
11047,"NDA",,"PHARMACIA AND UPJOHN",
11073,"NDA",,"MEDPOINTE PHARM HLC",
11110,"NDA",,"GLAXOSMITHKLINE",
11111,"NDA",,"PFIZER",
11120,"NDA",,"GLAXOSMITHKLINE",
11123,"NDA",,"BRISTOL MYERS SQUIBB",
11127,"NDA",,"GLAXOSMITHKLINE",
11145,"NDA",,"OAK PHARMS AKORN",
11153,"NDA",,"PHARMACIA AND UPJOHN",
11161,"NDA",,"ASTELLAS",
11178,"NDA",,"SANOFI AVENTIS US",
11185,"NDA",,"IVAX SUB TEVA PHARMS",
11188,"NDA",,"GLAXOSMITHKLINE",
11208,"NDA",,"ARMOUR PHARM",
11210,"NDA",,"PFIZER",
11213,"NDA",,"SCHERING",
11228,"NDA",,"ORGANON USA INC",
11245,"NDA",,"BRACCO",
11265,"NDA",,"ANI PHARMS",
11270,"NDA",,"SHIRE",
11276,"NDA",,"GLAXOSMITHKLINE",
11283,"NDA",,"DELCOR ASSET CORP",
11284,"NDA",,"MEDPOINTE PHARM HLC",
11287,"NDA",,"CONCORDIA PHARMS INC",
11294,"NDA",,"SCHERING",
11300,"NDA",,"ORTHO MCNEIL PHARM",
11316,"NDA",,"ALLERGAN HERBERT",
11323,"NDA",,"SHIRE",
11324,"NDA",,"BRACCO",
11325,"NDA",,"APOTHECON",
11338,"NDA",,"WYETH AYERST",
11340,"NDA",,"PHARM RES ASSOC",
11359,"NDA",,"BRISTOL MYERS SQUIBB",
11361,"NDA",,"SCHERING",
11366,"NDA",,"STRONGBRIDGE US",
11386,"NDA",,"GE HEALTHCARE",
11418,"NDA",,"WYETH AYERST",
11444,"NDA",,"SANOFI AVENTIS US",
11446,"NDA",,"PFIZER",
11459,"NDA",,"PFIZER",
11467,"NDA",,"SANOFI AVENTIS US",
11483,"NDA",,"SUN PHARM INDUSTRIES",
11491,"NDA",,"APOTHECON",
11496,"NDA",,"GLAXOSMITHKLINE",
11521,"NDA",,"IVAX SUB TEVA PHARMS",
11522,"NDA",,"TEVA WOMENS",
11525,"NDA",,"AKORN",
11529,"NDA",,"JANSSEN R AND D",
11552,"NDA",,"GLAXOSMITHKLINE",
11556,"NDA",,"NOVARTIS",
11557,"NDA",,"SCHERING",
11559,"NDA",,"PAR STERILE PRODUCTS",
11583,"NDA",,"MERCK",
11600,"NDA",,"MYLAN PHARMS INC",
11601,"NDA",,"MYLAN PHARMS INC",
11602,"NDA",,"DELCOR ASSET CORP",
11612,"NDA",,"PFIZER",
11613,"NDA",,"UCB INC",
11620,"NDA",,"BRACCO",
11635,"NDA",,"MERCK",
11641,"NDA",,"PFIZER",
11642,"NDA",,"PHARM RES ASSOC",
11657,"NDA",,"FOREST LABS",
11664,"NDA",,"MERCK",
11665,"NDA",,"VALEANT PHARMS LLC",
11673,"NDA",,"3M",
11679,"NDA",,"ABBOTT",
11683,"NDA",,"IMMUNEX",
11685,"NDA",,"FOSUN PHARMA",
11689,"NDA",,"MYLAN PHARMS INC",
11695,"NDA",,"PHARM RES ASSOC",
11702,"NDA",,"SUN PHARM INDUSTRIES",
11707,"NDA",,"ENDO PHARMS",
11719,"NDA",,"HOSPIRA",
11721,"NDA",,"LEDERLE",
11722,"NDA",,"ACTAVIS LABS UT INC",
11730,"NDA",,"WEST-WARD PHARMS INT",
11738,"NDA",,"ENDO PHARMS",
11745,"NDA",,"ROCHE",
11748,"NDA",,"PHARMACIA AND UPJOHN",
11751,"NDA",,"APOTHECON",
11752,"NDA",,"BOEHRINGER INGELHEIM",
11757,"NDA",,"PHARMACIA AND UPJOHN",
11771,"NDA",,"PHARM RES ASSOC",
11777,"NDA",,"MALLINCKRODT",
11790,"NDA",,"WEST-WARD PHARMS INT",
11792,"NDA",,"MYLAN SPECIALITY LP",
11793,"NDA",,"NOVARTIS",
11795,"NDA",,"PFIZER",
11808,"NDA",,"NOVARTIS",
11814,"NDA",,"SCHERING",
11835,"NDA",,"MERCK",
11836,"NDA",,"SANOFI AVENTIS US",
11837,"NDA",,"SOLA BARNES HIND",
11838,"NDA",,"NOVARTIS",
11839,"NDA",,"PHARMACIA AND UPJOHN",
11856,"NDA",,"PHARMACIA AND UPJOHN",
11860,"NDA",,"MERCK",
11870,"NDA",,"SALIX PHARMS",
11878,"NDA",,"NOVARTIS",
11891,"NDA",,"ORGANON USA INC",
11903,"NDA",,"ALCON",
11909,"NDA",,"PARKE DAVIS",
11914,"NDA",,"CHESEBROUGH PONDS",
11945,"NDA",,"GLAXOSMITHKLINE",
11949,"NDA",,"SHIRE LLC",
11950,"NDA",,"WESTWOOD SQUIBB",
11958,"NDA",,"MERCK",
11960,"NDA",,"ASTELLAS",
11961,"NDA",,"VALIDUS PHARMS INC",
11963,"NDA",,"WYETH PHARMS INC",
11964,"NDA",,"PARKE DAVIS",
11971,"NDA",,"ABBVIE",
11977,"NDA",,"MERCK",
11983,"NDA",,"MERCK",
11984,"NDA",,"MERCK",
12003,"NDA",,"ABBVIE",
12015,"NDA",,"OAK PHARMS AKORN",
12026,"NDA",,"NOVARTIS",
12034,"NDA",,"SCHERING",
12041,"NDA",,"APOTHECON",
12052,"NDA",,"MERCK",
12071,"NDA",,"MERCK",
12093,"NDA",,"VALEANT PHARMS NORTH",
12095,"NDA",,"PHARMACIA AND UPJOHN",
12097,"NDA",,"DELCOR ASSET CORP",
12102,"NDA",,"3M",
12104,"NDA",,"SUN PHARM INDS INC",
12111,"NDA",,"ALCON",
12122,"NDA",,"LILLY",
12125,"NDA",,"EASTMAN KODAK",
12126,"NDA",,"3M",
12128,"NDA",,"PFIZER",
12141,"NDA",,"BAXTER HLTHCARE",
12142,"NDA",,"BAXTER HLTHCARE",
12145,"NDA",,"APOTHECON",
12148,"NDA",,"ABBVIE",
12151,"NDA",,"GD SEARLE LLC",
12154,"NDA",,"HOSPIRA",
12155,"NDA",,"SCHERING",
12157,"NDA",,"MEDICIS",
12164,"NDA",,"APOTHECON",
12179,"NDA",,"HI TECH PHARMA",
12184,"NDA",,"PARKE DAVIS",
12193,"NDA",,"NOVARTIS",
12209,"NDA",,"SPECTRUM PHARMS",
12223,"NDA",,"TELIGENT",
12248,"NDA",,"WYETH AYERST",
12249,"NDA",,"VALEANT PHARM INTL",
12250,"NDA",,"HOSPIRA",
12254,"NDA",,"SCHERING",
12259,"NDA",,"PHARMACIA AND UPJOHN",
12265,"NDA",,"SCHERING",
12281,"NDA",,"ROBINS AH",
12283,"NDA",,"SANOFI AVENTIS US",
12285,"NDA",,"RTRX",
12301,"NDA",,"VALEANT PHARMS LLC",
12302,"NDA",,"ABBVIE",
12329,"NDA",,"NOVARTIS",
12339,"NDA",,"SANOFI AVENTIS US",
12342,"NDA",,"CONCORDIA PHARMS INC",
12359,"NDA",,"SHIRE",
12365,"NDA",,"MEDA PHARMS",
12366,"NDA",,"MEDA PHARMS",
12376,"NDA",,"MERCK",
12380,"NDA",,"PARKE DAVIS",
12382,"NDA",,"WEST-WARD PHARMS INT",
12383,"NDA",,"MERCK",
12394,"NDA",,"SCHERING",
12402,"NDA",,"PROCTER AND GAMBLE",
12418,"NDA",,"ABBVIE",
12419,"NDA",,"SCHERING",
12421,"NDA",,"PHARMACIA AND UPJOHN",
12427,"NDA",,"PHARMACIA AND UPJOHN",
12429,"NDA",,"ASPEN GLOBAL INC",
12455,"NDA",,"WYETH AYERST",
12462,"NDA",,"GD SEARLE LLC",
12470,"NDA",,"SCHERING",
12485,"NDA",,"PARKE DAVIS",
12486,"NDA",,"ROCHE",
12487,"NDA",,"ROCHE",
12489,"NDA",,"AH ROBINS INC",
12515,"NDA",,"DELCOR ASSET CORP",
12516,"NDA",,"NOVARTIS",
12524,"NDA",,"ABBVIE",
12541,"NDA",,"PHARMACIA AND UPJOHN",
12542,"NDA",,"NOVARTIS",
12546,"NDA",,"ACTAVIS LABS UT INC",
12575,"NDA",,"GLAXOSMITHKLINE",
12583,"NDA",,"ALLERGAN",
12594,"NDA",,"SANOFI AVENTIS US",
12616,"NDA",,"GD SEARLE LLC",
12623,"NDA",,"GD SEARLE LLC",
12649,"NDA",,"MERCK",
12657,"NDA",,"SCHERING",
12665,"NDA",,"LILLY",
12674,"NDA",,"ASPEN GLOBAL INC",
12675,"NDA",,"ASPEN GLOBAL INC",
12678,"NDA",,"SANDOZ",
12697,"NDA",,"VALEANT PHARM INTL",
12699,"NDA",,"GD SEARLE LLC",
12703,"NDA",,"ASTRAZENECA",
12704,"NDA",,"ASTRAZENECA",
12708,"NDA",,"MEDPOINTE PHARM HLC",
12715,"NDA",,"ROCHE",
12728,"NDA",,"ORTHO MCNEIL PHARM",
12731,"NDA",,"MERCK",
12737,"NDA",,"SANDOZ",
12750,"NDA",,"VALEANT PHARMS",
12753,"NDA",,"NOVARTIS",
12754,"NDA",,"NOVARTIS",
12768,"NDA",,"WYETH AYERST",
12770,"NDA",,"HI TECH PHARMA",
12772,"NDA",,"LILLY",
12775,"NDA",,"ABBOTT",
12787,"NDA",,"MEDIMETRIKS PHARMS",
12796,"NDA",,"WYETH PHARMS INC",
12802,"NDA",,"FOSUN PHARMA",
12806,"NDA",,"AQUA PHARMS",
12813,"NDA",,"ALLERGAN",
12827,"NDA",,"CASPER PHARMA LLC",
12828,"NDA",,"ABBOTT",
12836,"NDA",,"BOEHRINGER INGELHEIM",
12845,"NDA",,"PFIZER",
12882,"NDA",,"WYETH AYERST",
12885,"NDA",,"LUNDBECK INC",
12892,"NDA",,"SHIRE",
12911,"NDA",,"LABORATORIE HRA",
12928,"NDA",,"LILLY",
12936,"NDA",,"LILLY",
12940,"NDA",,"BIOVAIL",
12945,"NDA",,"TEVA BRANDED PHARM",
12947,"NDA",,"LEDERLE",
12967,"NDA",,"BRACCO",
12968,"NDA",,"BRACCO",
12972,"NDA",,"SANOFI AVENTIS US",
13025,"NDA",,"HOSPIRA",
13026,"NDA",,"WYETH PHARMS",
13055,"NDA",,"TELIGENT",
13056,"NDA",,"ABBOTT",
13077,"NDA",,"ASTRAZENECA",
13092,"NDA",,"PURDUE FREDERICK",
13093,"NDA",,"PHARM RES ASSOC",
13132,"NDA",,"ASPEN GLOBAL INC",
13157,"NDA",,"LILLY",
13174,"NDA",,"CONCORDIA PHARMS INC",
13217,"NDA",,"KING PHARMS",
13220,"NDA",,"MERCK",
13247,"NDA",,"NOVARTIS",
13263,"NDA",,"ROCHE",
13264,"NDA",,"LEDERLE",
13294,"NDA",,"ROCHE",
13295,"NDA",,"LIEBEL-FLARSHEIM",
13296,"NDA",,"3M",
13319,"NDA",,"MALLINCKRODT",
13334,"NDA",,"MERCK",
13378,"NDA",,"LILLY",
13400,"NDA",,"MERCK",
13401,"NDA",,"MERCK",
13402,"NDA",,"MERCK",
13413,"NDA",,"UCB INC",
13416,"NDA",,"MEDICIS",
13420,"NDA",,"NOVARTIS",
13422,"NDA",,"NOVARTIS PHARMS CORP",
13428,"NDA",,"ENDO PHARMS",
13448,"NDA",,"ABBOTT",
13483,"NDA",,"SCHERING PLOUGH",
13538,"NDA",,"MERCK",
13553,"NDA",,"NOVARTIS",
13601,"NDA",,"APOTHECON",
13615,"NDA",,"DOW PHARM",
13621,"NDA",,"SANOFI AVENTIS US",
13625,"NDA",,"ACTAVIS LABS UT INC",
13636,"NDA",,"PFIZER",
13664,"NDA",,"ROCHE",
13684,"NDA",,"BAXTER HLTHCARE",
13718,"NDA",,"GEMINI LABS LLC",
13731,"NDA",,"GE HEALTHCARE",
13790,"NDA",,"AQUA PHARMS",
13927,"NDA",,"LEDERLE",
13934,"NDA",,"GLAXOSMITHKLINE",
13935,"NDA",,"ALLERGAN",
13960,"NDA",,"MEDIMETRIKS PHARMS",
13993,"NDA",,"BRACCO",
