"applno","productno","marketingstatusid","tecodestr","tecode"
12151,8,1,"AB",2
12151,9,1,"AB",2
12151,10,1,"AB",2
12179,1,1,"AT",56
12250,1,1,"AP",52
12250,2,1,"AP",52
12250,5,1,"AP",52
12342,3,1,"AB",2
12380,1,1,"AB",2
12462,1,1,"AA",1
12546,1,1,"AB",2
12616,4,1,"AB",2
12623,1,1,"AB",2
12623,3,1,"AB",2
12770,1,1,"AT",56
12787,2,1,"AT",56
12787,4,1,"AT",56
12787,5,1,"AT",56
12806,1,1,"AT",56
12806,2,1,"AT",56
12836,3,1,"AB",2
12836,4,1,"AB",2
12836,5,1,"AB",2
12945,1,1,"AB",2
13217,3,1,"AB",2
13263,2,1,"AB",2
13263,4,1,"AB",2
13263,6,1,"AB",2
13684,1,1,"AP",52
13684,2,1,"AP",52
13684,3,1,"AP",52
13684,4,1,"AP",52
13684,5,1,"AP",52
13684,6,1,"AP",52
13684,7,1,"AP",52
13684,8,1,"AP",52
13718,1,1,"AB",2
13718,2,1,"AB",2
13790,1,1,"AT",56
13960,1,1,"AT",56
14399,1,1,"AB",2
14399,3,1,"AB",2
14399,4,1,"AB",2
14399,5,1,"AB",2
14399,6,1,"AB",2
14399,7,1,"AB",2
14602,1,1,"AB",2
14691,2,1,"AB",2
14879,1,1,"AP",52
14901,1,1,"AP",52
15034,3,1,"AB",2
15230,2,1,"AA",1
15296,1,1,"AT",56
15923,1,1,"AP",52
16042,3,1,"AB",2
16084,1,1,"AB",2
16084,2,1,"AB",2
16092,1,1,"AB",2
16093,1,1,"AP",52
16151,1,1,"AB",2
16199,1,1,"AB",2
16267,1,1,"AP",52
16267,2,1,"AP",52
16269,6,1,"AP",52
16273,1,1,"AB",2
16273,2,1,"AB",2
16273,3,1,"AB",2
16295,1,1,"AB",2
16320,1,1,"AB",2
16320,3,1,"AB",2
16324,1,1,"AB",2
16366,1,1,"AP",52
16367,2,1,"AP",52
16608,1,1,"AB",2
16619,1,1,"AP",52
16620,1,1,"AB",2
16620,2,1,"AB",2
16620,3,1,"AB",2
16673,1,1,"AP",52
16673,3,1,"AP",52
16677,1,1,"AP",52
16677,4,1,"AP",52
16678,1,1,"AP",52
16679,1,1,"AP",52
16682,1,1,"AP",52
16683,1,1,"AP",52
16687,1,1,"AP",52
16689,1,1,"AP",52
16693,1,1,"AP",52
16694,1,1,"AP",52
16697,1,1,"AP",52
16730,1,1,"AP",52
16730,2,1,"AP",52
16733,1,1,"AT",56
16734,1,1,"AT",56
16750,1,1,"AP",52
16784,1,1,"AT",56
16792,1,1,"AB",2
16792,2,1,"AB",2
16792,3,1,"AB",2
16796,1,1,"AP",52
16801,1,1,"AP",52
16801,2,1,"AP",52
16801,4,1,"AP",52
16801,5,1,"AP",52
16812,1,1,"AP",52
16812,2,1,"AP",52
16812,3,1,"AP",52
16831,1,1,"AT",56
16831,2,1,"AT",56
16831,3,1,"AB",2
16909,2,1,"AB",2
16954,1,1,"AB2",20
16964,1,1,"AP",52
16964,4,1,"AP",52
16964,5,1,"AP",52
16964,6,1,"AP",52
16964,7,1,"AP",52
16964,8,1,"AP",52
16964,9,1,"AP",52
16964,10,1,"AP",52
16964,12,1,"AP",52
16964,13,1,"AP",52
17001,1,1,"AB",2
17001,2,1,"AB",2
17010,1,1,"AB",2
17011,1,1,"AB",2
17016,7,1,"AP",52
17029,1,1,"AP",52
17029,3,1,"AP",52
17029,4,1,"AP",52
17029,10,1,"AP",52
17029,13,1,"AP",52
17029,14,1,"AP",52
17029,15,1,"AP",52
17029,16,1,"AP",52
17037,1,1,"AP",52
17037,2,1,"AP",52
17037,3,1,"AP",52
17058,1,1,"AA",1
17060,1,1,"AB1",3
17067,2,1,"AP",52
17078,1,1,"AB",2
17078,2,1,"AB",2
17078,3,1,"AB",2
17105,7,1,"AB",2
17105,8,1,"AB",2
17116,2,1,"AA",1
17340,1,1,"AB",2
17354,1,1,"AB",2
17355,1,1,"AB",2
17362,2,1,"AO",51
17373,1,1,"AB",2
17376,1,1,"AB",2
17376,2,1,"AB",2
17377,1,1,"AB",2
17377,2,1,"AB",2
17381,1,1,"AB",2
17386,1,1,"AB",2
17386,2,1,"AB",2
17386,3,1,"AB",2
17398,1,1,"AP",52
17407,1,1,"AB",2
17407,2,1,"AB",2
17407,3,1,"AB",2
17422,1,1,"AP",52
17426,1,1,"AB",2
17427,1,1,"AT",56
17428,1,1,"AT",56
17433,1,1,"AT",56
17433,2,1,"AT",56
17441,1,1,"BP",144
17442,1,1,"AB",2
17442,2,1,"AB",2
17442,3,1,"AB",2
17443,1,1,"AB",2
17443,2,1,"AB",2
17443,3,1,"AB",2
17447,1,1,"AB",2
17447,2,1,"AB",2
17464,1,1,"AP",52
17469,1,1,"AB",2
17473,1,1,"AB",2
17473,3,1,"AB",2
17478,1,1,"BS",146
17512,1,1,"AT",56
17512,2,1,"AT",56
17512,3,1,"AT",56
17512,4,1,"AT",56
17512,5,1,"AT",56
17512,6,1,"AT",56
17512,7,1,"AT",56
17512,8,1,"AT",56
17512,9,1,"AT",56
17513,1,1,"AT",56
17514,1,1,"AT",56
17521,6,1,"AP",52
17522,1,1,"AB1",3
17530,1,1,"AP",52
17531,6,1,"AB",2
17532,1,1,"AB2",20
17532,2,1,"AB2",20
17532,3,1,"AB2",20
17533,1,1,"AB",2
17533,2,1,"AB",2
17533,3,1,"AB",2
17534,5,1,"AA",1
17538,1,1,"AP",52
17555,1,1,"AB",2
17555,2,1,"AB",2
17555,3,1,"AB",2
17563,3,1,"AB",2
17563,4,1,"AB",2
17565,1,1,"AB",2
17565,2,1,"AB",2
17579,2,1,"AB",2
17581,4,1,"AB",2
17584,1,1,"AP",52
17584,2,1,"AP",52
17585,1,1,"AP",52
17607,1,1,"AP",52
17608,1,1,"AP",52
17624,1,1,"AN",50
17634,1,1,"AP",52
17634,2,1,"AP",52
17634,3,1,"AP",52
17635,1,1,"AT",56
17641,1,1,"AP",52
17643,1,1,"AP",52
17648,1,1,"AP",52
17648,2,1,"AP",52
17648,5,1,"AP",52
17651,6,1,"AP",52
17656,1,1,"AT",56
17681,1,1,"AB",2
17692,1,1,"AP",52
17743,1,1,"AB",2
17783,1,1,"AB",2
17783,2,1,"AB",2
17788,1,1,"AT",56
17794,1,1,"AB",2
17794,2,1,"AB",2
17794,3,1,"AB",2
17806,1,1,"AP",52
17806,2,1,"AP",52
17807,1,1,"BP",144
17812,1,1,"AB",2
17812,2,1,"AB",2
17812,3,1,"AB",2
17830,1,1,"AB",2
17854,1,1,"AB",2
17854,2,1,"AB",2
17865,1,1,"AT",56
17866,1,1,"AT",56
17867,1,1,"AT",56
17874,1,1,"AB",2
17875,1,1,"AB",2
17876,1,1,"AB",2
17881,1,1,"BS",146
17892,1,1,"AB",2
17892,3,1,"AB",2
17919,2,1,"AB",2
17922,1,1,"AB",2
17922,3,1,"AB",2
17955,1,1,"AB",2
17962,1,1,"AB",2
17962,2,1,"AB",2
17963,1,1,"AB",2
17963,2,1,"AB",2
18008,5,1,"AP",52
18008,6,1,"AP",52
18008,7,1,"AP",52
18008,8,1,"AP",52
18008,9,1,"AP",52
18008,10,1,"AP",52
18013,1,1,"AB",2
18013,2,1,"AB",2
18013,3,1,"AB",2
18013,4,1,"AB",2
18016,1,1,"AP",52
18027,1,1,"AB",2
18037,1,1,"AP",52
18037,2,1,"AP",52
18037,3,1,"AP",52
18037,4,1,"AP",52
18037,5,1,"AP",52
18037,6,1,"AP",52
18037,7,1,"AP",52
18037,8,1,"AP",52
18037,9,1,"AP",52
18044,1,1,"AB",2
18044,2,1,"AB",2
18053,1,1,"AP",52
18053,2,1,"AP",52
18053,3,1,"AP",52
18057,4,1,"AP",52
18058,1,1,"BS",146
18063,1,1,"AB",2
18063,2,1,"AB",2
18063,5,1,"AB",2
18080,1,1,"AP",52
18081,1,1,"AB",2
18082,1,1,"AA",1
18086,1,1,"AT",56
18086,2,1,"AT1",66
18090,1,1,"AP",52
18110,2,1,"AP",52
18132,1,1,"AP",52
18132,2,1,"AP",52
18132,3,1,"AP",52
18132,4,1,"AP",52
18140,1,1,"AP",52
18140,2,1,"AP",52
18147,2,1,"AB",2
18147,3,1,"AB",2
18150,1,1,"AP",52
18156,1,1,"AT",56
18161,1,1,"AT",56
18163,1,1,"AB",2
18163,2,1,"AB",2
18163,3,1,"AB",2
18163,4,1,"AB",2
18164,3,1,"AB",2
18200,1,1,"AB",2
18225,1,1,"AB",2
18225,2,1,"AB",2
18225,3,1,"AB",2
18227,1,1,"AP",52
18233,1,1,"AP",52
18240,1,1,"AB",2
18240,2,1,"AB",2
18240,4,1,"AB",2
18243,1,1,"AP",52
18243,2,1,"AP",52
18248,1,1,"AP",52
18248,2,1,"AP",52
18251,1,1,"AP",52
18261,1,1,"AP",52
18261,2,1,"AP",52
18264,1,1,"AP",52
18276,1,1,"AB",2
18276,2,1,"AB",2
18276,3,1,"AB",2
18276,4,1,"AB",2
18279,1,1,"AB3",30
18279,2,1,"BC",130
18279,3,1,"AB2",20
18281,1,1,"AB",2
18299,1,1,"AT",56
18303,1,1,"AB",2
18303,2,1,"AB",2
18304,1,1,"AP",52
18304,2,1,"AP",52
18304,3,1,"AP",52
18304,4,1,"AP",52
18304,5,1,"AP",52
18313,1,1,"AT",56
18314,1,1,"AT",56
18315,1,1,"AT",56
18333,1,1,"AB",2
18336,1,1,"AT",56
18362,2,1,"AP",52
18362,3,1,"AP",52
18362,5,1,"AP",52
18362,9,1,"AP",52
18362,10,1,"AP",52
18371,3,1,"AP",52
18401,1,1,"AP",52
18413,1,1,"AB",2
18413,2,1,"AB",2
18421,1,1,"AA",1
18422,3,1,"AB",2
18449,1,1,"AP",52
18461,2,1,"AP",52
18461,3,1,"AP",52
18461,4,1,"AP",52
18482,1,1,"AB",2
18484,1,1,"AP",52
18487,1,1,"AB",2
18487,2,1,"AB",2
18494,1,1,"AT",56
18495,1,1,"AT",56
18508,1,1,"AT",56
18514,1,1,"AB1",3
18523,1,1,"AT",56
18553,1,1,"AB",2
18553,2,1,"AB",2
18553,3,1,"AB",2
18553,4,1,"AB",2
18558,1,1,"AB",2
18561,1,1,"AP",52
18563,1,1,"AP",52
18565,1,1,"AP",52
18565,2,1,"AP",52
18565,3,1,"AP",52
18565,4,1,"AP",52
18569,1,1,"AB",2
18569,2,1,"AB",2
18569,5,1,"AB",2
18578,1,1,"AB",2
18594,1,1,"AB",2
18602,1,1,"AB",2
18602,2,1,"AB",2
18602,3,1,"AB",2
18602,4,1,"AB",2
18604,1,1,"AB",2
18608,1,1,"AT",56
18609,1,1,"AP",52
18609,2,1,"AP",52
18613,1,1,"AT",56
18615,1,1,"AB",2
18629,1,1,"AP",52
18629,2,1,"AP",52
18629,3,1,"AP",52
18629,4,1,"AP",52
18629,5,1,"AP",52
18629,6,1,"AP",52
18629,7,1,"AP",52
18629,8,1,"AP",52
18632,1,1,"AP",52
18632,2,1,"AP",52
18642,1,1,"AB",2
18647,1,1,"AB",2
18647,2,1,"AB",2
18651,1,1,"AB",2
18651,2,1,"AB",2
18651,3,1,"AB",2
18652,1,1,"AB",2
18657,1,1,"AP",52
18659,1,1,"AB",2
18659,2,1,"AB",2
18667,1,1,"AP",52
18671,1,1,"AA",1
18671,2,1,"AA",1
18679,1,1,"AB",2
18681,1,1,"AT",56
18692,1,1,"AP",52
18701,1,1,"AO",51
18701,2,1,"AO",51
18704,1,1,"AP",52
18705,2,1,"AB",2
18714,1,1,"AB",2
18716,1,1,"AB",2
18716,2,1,"AB",2
18716,3,1,"AB",2
18723,1,1,"AB",2
18723,2,1,"AB",2
18723,3,1,"AB",2
18735,2,1,"AP",52
18735,3,1,"AP",52
18741,1,1,"AB",2
18748,1,1,"AB",2
18751,1,1,"AB",2
18760,1,1,"AB",2
18760,2,1,"AB",2
18800,1,1,"AP",52
18801,1,1,"AP",52
18802,1,1,"AP",52
18803,1,1,"AP",52
18810,1,1,"AB",2
18817,1,1,"AB",2
18817,2,1,"AB",2
18823,1,1,"AB",2
18823,2,1,"AB",2
18826,1,1,"AP",52
18826,2,1,"AP",52
18826,3,1,"AP",52
18827,1,1,"AB",2
18828,1,1,"AB",2
18830,1,1,"AB",2
18830,3,1,"AB",2
18830,4,1,"AB",2
18832,2,1,"AB",2
18841,4,1,"AB",2
18849,1,1,"AT",56
18851,1,1,"AB",2
18851,2,1,"AB",2
18858,1,1,"AB",2
18859,1,1,"AN",50
18861,1,1,"AB",2
18865,1,1,"AB",2
18866,1,1,"AB",2
18877,1,1,"AB",2
18878,1,1,"AP",52
18883,1,1,"AT",56
18883,2,1,"AT",56
18883,3,1,"AT",56
18883,4,1,"AT",56
18883,5,1,"AT",56
18883,6,1,"AT",56
18888,1,1,"AB",2
18890,2,1,"AP",52
18891,1,1,"AB",2
18891,2,1,"AB",2
18891,3,1,"AB",2
18896,1,1,"AP",52
18900,1,1,"AP",52
18902,1,1,"AP",52
18916,10,1,"AP",52
18916,11,1,"AP",52
18921,1,1,"AT",56
18925,1,1,"AP",52
18925,2,1,"AP",52
18927,1,1,"AB",2
18936,1,1,"AB1",3
18936,3,1,"AB",2
18936,6,1,"AB1",3
18938,1,1,"AP",52
18948,1,1,"AB",2
18963,1,1,"AP",52
18965,1,1,"AB",2
18977,2,1,"AB",2
18983,12,1,"AA",1
18985,2,1,"AB",2
18998,1,1,"AB",2
18998,2,1,"AB",2
18998,3,1,"AB",2
18998,5,1,"AB",2
19011,1,1,"AA",1
19022,1,1,"AP",52
19022,2,1,"AP",52
19028,1,1,"AT",56
19034,3,1,"AP",52
19034,4,1,"AP",52
19039,1,1,"AP",52
19044,1,1,"AP",52
19048,1,1,"AB",2
19049,1,1,"AB",2
19050,1,1,"AP",52
19071,1,1,"AB",2
19071,2,1,"AB",2
19071,3,1,"AB",2
19090,1,1,"AP",52
19099,2,1,"AP",52
19099,3,1,"AP",52
19099,4,1,"AP",52
19101,1,1,"AP",52
19115,1,1,"AP",52
19116,1,1,"AT",56
19117,1,1,"AB1",3
19123,1,1,"AB2",20
19123,2,1,"AB2",20
19129,1,1,"AB",2
19129,3,1,"AB",2
19137,1,1,"AB",2
19141,1,1,"AB",2
19152,1,1,"AB",2
19152,3,1,"AB",2
19157,1,1,"AA",1
19194,1,1,"AB",2
19219,2,1,"AT",56
19221,1,1,"AB",2
19221,3,1,"AB",2
19257,1,1,"AA",1
19257,2,1,"AA",1
19264,1,1,"AP",52
19268,1,1,"AB",2
19268,3,1,"AB",2
19270,1,1,"AT",56
19281,1,1,"AP",52
19308,5,1,"AP",52
19308,7,1,"AP",52
19316,1,1,"AP",52
19339,2,1,"AP",52
19339,3,1,"AP",52
19339,4,1,"AP",52
19353,1,1,"AP",52
19367,4,1,"AP",52
19367,5,1,"AP",52
19367,6,1,"AP",52
19367,7,1,"AP",52
19367,8,1,"AP",52
19386,6,1,"AP",52
19404,1,1,"AT",56
19416,1,1,"AT",56
19429,3,1,"AB",2
19430,1,1,"AB",2
19430,2,1,"AB",2
19452,1,1,"AT",56
19452,2,1,"AT",56
19452,3,1,"AT",56
19462,1,1,"AB",2
19462,2,1,"AB",2
19465,1,1,"AP",52
19465,2,1,"AP",52
19466,1,1,"AP",52
19479,1,1,"AP",52
19480,1,1,"AP",52
19516,1,1,"AB",2
19516,2,1,"AB",2
19516,3,1,"AB",2
19516,4,1,"AB",2
19516,5,1,"AB",2
19527,1,1,"AB",2
19531,1,1,"AP",52
19531,2,1,"AP",52
19537,2,1,"AB",2
19537,3,1,"AB",2
19543,1,1,"AB",2
19555,1,1,"AB",2
19558,1,1,"AB",2
19558,2,1,"AB",2
19558,3,1,"AB",2
19558,4,1,"AB",2
19568,1,1,"AB",2
19594,2,1,"AB",2
19599,2,1,"AB",2
19600,1,1,"AB",2
19603,1,1,"AP",52
19603,2,1,"AP",52
19603,3,1,"AP",52
19603,4,1,"AP",52
19614,1,1,"AB",2
19614,2,1,"AB",2
19614,3,1,"AB",2
19615,1,1,"AP",52
19615,2,1,"AP",52
19615,3,1,"AP",52
19618,1,1,"AB",2
19618,2,1,"AB",2
19625,2,1,"AB",2
19626,2,1,"AP",52
19626,4,1,"AP",52
19626,5,1,"AP",52
19627,2,1,"AB",2
19630,8,1,"AP",52
19630,10,1,"AP",52
19630,12,1,"AP",52
19630,14,1,"AP",52
19630,16,1,"AP",52
19630,18,1,"AP",52
19630,20,1,"AP",52
19630,22,1,"AP",52
19630,24,1,"AP",52
19630,26,1,"AP",52
19630,28,1,"AP",52
19630,30,1,"AP",52
19631,4,1,"AP",52
19631,7,1,"AP",52
19631,8,1,"AP",52
19631,9,1,"AP",52
19631,10,1,"AP",52
19632,1,1,"AP",52
19633,1,1,"AP",52
19634,3,1,"AP",52
19635,1,1,"AP",52
19635,2,1,"AP",52
19635,3,1,"AP",52
19635,4,1,"AP",52
19640,4,1,"BX",151
19640,5,1,"BX",151
19649,1,1,"AB",2
19653,2,1,"AB",2
19655,1,1,"AB",2
19661,1,1,"AP",52
19667,1,1,"AP",52
19667,2,1,"AP",52
19667,3,1,"AP",52
19667,4,1,"AP",52
19667,5,1,"AP",52
19668,1,1,"AB",2
19668,2,1,"AB",2
19668,3,1,"AB",2
19668,4,1,"AB",2
19680,1,1,"AB",2
19684,1,1,"AB2",20
19684,2,1,"AB2",20
19684,3,1,"AB2",20
19685,2,1,"AP",52
19686,1,1,"AP",52
19686,2,1,"AP",52
19691,5,1,"AP",52
19691,9,1,"AP",52
19697,1,1,"AB",2
19699,4,1,"AP",52
19699,6,1,"AP",52
19700,1,1,"AT",56
19708,4,1,"AP",52
19737,1,1,"AB",2
19758,1,1,"AB",2
19758,2,1,"AB",2
19759,1,1,"AP",52
19763,1,1,"AP",52
19763,2,1,"AP",52
19764,2,1,"BX",151
19766,1,1,"AB",2
19766,2,1,"AB",2
19766,3,1,"AB",2
19766,4,1,"AB",2
19766,5,1,"AB",2
19774,2,1,"BX",151
19777,1,1,"AB",2
19777,2,1,"AB",2
19777,3,1,"AB",2
19777,4,1,"AB",2
19777,5,1,"AB",2
19777,6,1,"AB",2
19781,1,1,"AB",2
19781,2,1,"AB",2
19785,1,1,"AP",52
19787,1,1,"AB",2
19787,2,1,"AB",2
19787,3,1,"AB",2
19795,1,1,"AT",56
19796,1,1,"AB",2
19797,1,1,"AA",1
19797,2,1,"AA",1
19805,1,1,"AP",52
19805,2,1,"AP",52
19813,1,1,"AB",2
19813,2,1,"AB",2
19813,3,1,"AB",2
19813,4,1,"AB",2
19813,5,1,"AB",2
19814,1,1,"AT",56
19821,1,1,"AB",2
19821,2,1,"AB",2
19821,3,1,"AB",2
19821,4,1,"AB",2
19824,1,1,"AB",2
19828,1,1,"AB",2
19830,2,1,"AP",52
19830,3,1,"AP",52
19830,4,1,"AP",52
19832,3,1,"AT",56
19839,1,1,"AB",2
19839,2,1,"AB",2
19839,5,1,"AB",2
19851,1,1,"AB",2
19851,2,1,"AB",2
19851,3,1,"AB",2
19851,4,1,"AB",2
19855,1,1,"AB",2
19856,1,1,"AB",2
19856,2,1,"AB",2
19865,1,1,"AB1",3
19865,2,1,"AB1",3
19865,3,1,"AB1",3
19865,5,1,"AB1",3
19869,1,1,"AP",52
19884,1,1,"AP",52
19885,1,1,"AB",2
19885,2,1,"AB",2
19885,3,1,"AB",2
19885,4,1,"AB",2
19888,1,1,"AB",2
19888,2,1,"AB",2
19888,3,1,"AB",2
19891,1,1,"AA",1
19892,1,1,"AB",2
19892,2,1,"AB",2
19892,3,1,"AB",2
19893,1,1,"AP",52
19898,3,1,"AB",2
19898,4,1,"AB",2
19898,8,1,"AB",2
19901,1,1,"AB",2
19901,2,1,"AB",2
19901,3,1,"AB",2
19901,4,1,"AB",2
19904,1,1,"AP",52
19904,2,1,"AP",52
19904,3,1,"AP",52
19904,4,1,"AP",52
19904,5,1,"AP",52
19904,6,1,"AP",52
19906,1,1,"AB",2
19906,2,1,"AB",2
19906,3,1,"AB",2
19907,1,1,"AT",56
19908,1,1,"AB",2
19908,2,1,"AB",2
19909,1,1,"AB",2
19910,1,1,"AA",1
19916,1,1,"AP",52
19921,1,1,"AT",56
19922,1,1,"AP",52
19927,1,1,"AB",2
19931,1,1,"AB",2
19941,1,1,"AB",2
19949,1,1,"AB",2
19949,2,1,"AB",2
19949,3,1,"AB",2
19949,4,1,"AB",2
19951,1,1,"AP",52
19952,1,1,"AP",52
19952,4,1,"AP",52
19952,5,1,"AP",52
19953,1,1,"AP",52
19955,1,1,"AB",2
19955,2,1,"AB",2
19957,1,1,"AB",2
19962,1,1,"AB",2
19962,2,1,"AB",2
19962,3,1,"AB",2
19962,4,1,"AB",2
19963,1,1,"AB2",20
19967,1,1,"AB",2
19968,1,1,"AB",2
19970,1,1,"AP",52
19970,2,1,"AP",52
19970,3,1,"AP",52
19992,1,1,"AT",56
20002,1,1,"AP",52
20006,1,1,"AP",52
20006,2,1,"AP",52
20006,3,1,"AP",52
20006,4,1,"AP",52
20010,1,1,"AB",2
20031,1,1,"AB",2
20031,2,1,"AB",2
20031,3,1,"AB",2
20031,5,1,"AB",2
20033,2,1,"AB",2
20033,3,1,"AB",2
20033,4,1,"AB",2
20037,1,1,"AT",56
20047,1,1,"AP",52
20047,3,1,"AP",52
20051,1,1,"AB",2
20051,2,1,"AB",2
20051,4,1,"AB",2
20062,1,1,"AB3",30
20062,2,1,"AB3",30
20062,3,1,"AB3",30
20062,4,1,"AB3",30
20062,5,1,"AB3",30
20064,1,1,"AB",2
20067,2,1,"AB",2
20067,3,1,"AB",2
20071,2,1,"AB",2
20075,1,1,"AP",52
20075,2,1,"AP",52
20075,3,1,"AP",52
20080,1,1,"AP",52
20080,2,1,"AB",2
20080,3,1,"AB",2
20083,1,1,"AB",2
20089,1,1,"AB",2
20089,2,1,"AB",2
20090,1,1,"AB",2
20090,2,1,"AB",2
20103,1,1,"AB",2
20103,2,1,"AB",2
20103,3,1,"AB",2
20105,1,1,"AP",52
20114,1,1,"AB",2
20118,1,1,"AN",50
20122,1,1,"AP",52
20125,1,1,"AB",2
20125,2,1,"AB",2
20125,3,1,"AB",2
20130,2,1,"AB",2
20132,1,1,"AB",2
20132,2,1,"AB",2
20132,3,1,"AB",2
20134,1,1,"AP",52
20136,1,1,"AB",2
20136,2,1,"AB",2
20136,3,1,"AB",2
20136,4,1,"AB",2
20140,1,1,"AP",52
20145,1,1,"AB1",3
20145,2,1,"AB1",3
20145,4,1,"AB1",3
20145,5,1,"AB1",3
20161,1,1,"AP",52
20161,2,1,"AP",52
20161,3,1,"AP",52
20161,4,1,"AP",52
20161,5,1,"AP",52
20161,6,1,"AP",52
20163,1,1,"AT",56
20163,2,1,"AT",56
20163,3,1,"AT",56
20164,1,1,"AP",52
20164,2,1,"AP",52
20164,3,1,"AP",52
20164,4,1,"AP",52
20164,5,1,"AP",52
20164,7,1,"AP",52
20164,8,1,"AP",52
20164,9,1,"AB",2
20169,2,1,"AB",2
20171,1,1,"AT",56
20171,2,1,"AT",56
20171,3,1,"AT",56
20178,1,1,"AP",52
20178,2,1,"AP",52
20179,1,1,"AP",52
20179,2,1,"AP",52
20180,1,1,"AB",2
20182,1,1,"AP",52
20183,1,1,"AT",56
20186,1,1,"AB",2
20186,2,1,"AB",2
20186,3,1,"AB",2
20189,1,1,"AB",2
20189,2,1,"AB",2
20189,3,1,"AB",2
20198,1,1,"AB1",3
20198,2,1,"AB1",3
20198,3,1,"AB1",3
20201,1,1,"AP",52
20201,2,1,"AP",52
20201,3,1,"AP",52
20201,6,1,"AP",52
20208,1,1,"AB",2
20212,1,1,"AP",52
20212,2,1,"AP",52
20215,1,1,"AB",2
20215,2,1,"AB",2
20221,1,1,"AP",52
20222,1,1,"AB",2
20232,1,1,"AB",2
20234,1,1,"AB",2
20234,2,1,"AB",2
20234,3,1,"AB",2
20235,1,1,"AB",2
20235,2,1,"AB",2
20235,3,1,"AB",2
20237,1,1,"AB",2
20237,2,1,"AB",2
20241,1,1,"AB",2
20241,2,1,"AB",2
20241,3,1,"AB",2
20241,5,1,"AB",2
20246,1,1,"AB",2
20248,1,1,"AP",52
20255,1,1,"AP",52
20255,3,1,"AP",52
20255,4,1,"AP",52
20255,5,1,"AP",52
20258,1,1,"AT",56
20262,1,1,"AP",52
20272,1,1,"AB",2
20272,2,1,"AB",2
20272,3,1,"AB",2
20272,4,1,"AB",2
20272,7,1,"AB",2
20272,8,1,"AB",2
20279,1,1,"AB",2
20280,6,1,"BX",151
20281,2,1,"AB",2
20297,1,1,"AB",2
20297,2,1,"AB",2
20297,3,1,"AB",2
20297,4,1,"AB",2
20298,1,1,"AP",52
20309,1,1,"AP",52
20309,2,1,"AP",52
20309,3,1,"AP",52
20309,4,1,"AP",52
20309,5,1,"AP",52
20329,1,1,"AB",2
20329,2,1,"AB",2
20329,3,1,"AB",2
20330,1,1,"AB",2
20330,2,1,"AB",2
20333,1,1,"AB",2
20334,1,1,"AB",2
20353,1,1,"AB",2
